"","STATION","NAME","DATE","AWND","DAPR","MDPR","PGTM","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","WDF2","WDF5","WESD","WESF","WSF2","WSF5","WT01","WT02","WT03","WT06","WT08","WT09"
"1","US1NELA0030","WAVERLY 0.4 W, NE US","2023-01-01",NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","US1NELA0030","WAVERLY 0.4 W, NE US","2023-01-02",NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","US1NELA0030","WAVERLY 0.4 W, NE US","2023-01-03",NA,NA,NA,NA,0.47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","US1NELA0030","WAVERLY 0.4 W, NE US","2023-01-15",NA,12,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","US1NELA0030","WAVERLY 0.4 W, NE US","2023-01-16",NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","US1NELA0030","WAVERLY 0.4 W, NE US","2023-01-18",NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","US1NELA0030","WAVERLY 0.4 W, NE US","2023-01-19",NA,NA,NA,NA,0.67,1.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","US1NELA0030","WAVERLY 0.4 W, NE US","2023-01-20",NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","US1NELA0030","WAVERLY 0.4 W, NE US","2023-01-30",NA,10,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","US1NELA0030","WAVERLY 0.4 W, NE US","2023-02-13",NA,14,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","US1NELA0030","WAVERLY 0.4 W, NE US","2023-02-14",NA,NA,NA,NA,0.11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","US1NELA0030","WAVERLY 0.4 W, NE US","2023-02-15",NA,NA,NA,NA,0.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","US1NELA0030","WAVERLY 0.4 W, NE US","2023-02-16",NA,NA,NA,NA,0.26,5.7,5.7,NA,NA,NA,NA,NA,0.3,0.3,NA,NA,NA,NA,NA,NA,NA,NA
"14","US1NELA0030","WAVERLY 0.4 W, NE US","2023-02-17",NA,NA,NA,NA,0.04,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","US1NELA0030","WAVERLY 0.4 W, NE US","2023-02-22",NA,5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","US1NELA0030","WAVERLY 0.4 W, NE US","2023-02-23",NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
"17","US1NELA0030","WAVERLY 0.4 W, NE US","2023-02-24",NA,NA,NA,NA,0,0.7,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
"18","US1NELA0030","WAVERLY 0.4 W, NE US","2023-02-26",NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","US1NELA0030","WAVERLY 0.4 W, NE US","2023-02-27",NA,NA,NA,NA,0.29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","US1NELA0030","WAVERLY 0.4 W, NE US","2023-03-02",NA,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","US1NELA0030","WAVERLY 0.4 W, NE US","2023-03-09",NA,7,0.19,NA,NA,NA,1,NA,NA,NA,NA,NA,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","US1NELA0030","WAVERLY 0.4 W, NE US","2023-03-16",NA,7,0.21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
