Effect,set,media,pair_id,_set,_media,_pair_id,Estimate,StdErr,DF,tValue,Probt,Adjustment,Adjp,Alpha,Lower,Upper,AdjLower,AdjUpper
set,set1,,_,set2,,_,-0.04508,0.02749,773,-1.64,0.1014,Tukey-Kramer,0.1014,0.05,-0.09903,0.008879,-0.09903,0.008879
media,,2dd,_,,3dd,_,0.2049,0.004704,773,43.55,<.0001,Tukey-Kramer,<.0001,0.05,0.1956,0.2141,0.1938,0.2159
media,,2dd,_,,3dp,_,0.2503,0.004416,773,56.69,<.0001,Tukey-Kramer,<.0001,0.05,0.2416,0.2590,0.2399,0.2607
media,,3dd,_,,3dp,_,0.04545,0.000887,773,51.26,<.0001,Tukey-Kramer,<.0001,0.05,0.04371,0.04719,0.04337,0.04753
set*media,set1,2dd,_,set1,3dd,_,0.2337,0.009408,773,24.84,<.0001,Tukey-Kramer,<.0001,0.05,0.2152,0.2522,0.2068,0.2606
set*media,set1,2dd,_,set1,3dp,_,0.2664,0.008831,773,30.17,<.0001,Tukey-Kramer,<.0001,0.05,0.2491,0.2837,0.2412,0.2916
set*media,set1,2dd,_,set2,2dd,_,-0.01513,0.02913,773,-0.52,0.6035,Tukey-Kramer,0.9954,0.05,-0.07232,0.04205,-0.09835,0.06809
set*media,set1,2dd,_,set2,3dd,_,0.1609,0.02913,773,5.52,<.0001,Tukey-Kramer,<.0001,0.05,0.1037,0.2181,0.07769,0.2441
set*media,set1,2dd,_,set2,3dp,_,0.2191,0.02913,773,7.52,<.0001,Tukey-Kramer,<.0001,0.05,0.1619,0.2763,0.1359,0.3023
set*media,set1,3dd,_,set1,3dp,_,0.03271,0.001773,773,18.44,<.0001,Tukey-Kramer,<.0001,0.05,0.02923,0.03619,0.02764,0.03777
set*media,set1,3dd,_,set2,2dd,_,-0.2488,0.02653,773,-9.38,<.0001,Tukey-Kramer,<.0001,0.05,-0.3009,-0.1967,-0.3246,-0.1730
set*media,set1,3dd,_,set2,3dd,_,-0.07279,0.02653,773,-2.74,0.0062,Tukey-Kramer,0.0682,0.05,-0.1249,-0.02070,-0.1486,0.003019
set*media,set1,3dd,_,set2,3dp,_,-0.01460,0.02653,773,-0.55,0.5824,Tukey-Kramer,0.9940,0.05,-0.06669,0.03749,-0.09041,0.06121
set*media,set1,3dp,_,set2,2dd,_,-0.2815,0.02775,773,-10.14,<.0001,Tukey-Kramer,<.0001,0.05,-0.3360,-0.2271,-0.3608,-0.2022
