Effect,set,media,pair_id,Estimate,StdErr,DF,tValue,Probt,Mu,StdErrMu,Alpha,Lower,Upper,LowerMu,UpperMu
set,set1,,_,2.7920,0.02749,773,101.58,<.0001,16.3141,0.4484,0.05,2.7381,2.8460,15.4572,17.2185
set,set2,,_,2.8371,0,773,I,<.0001,17.0663,0,,,,,
media,,2dd,_,2.9663,0.01456,773,203.66,<.0001,19.4198,0.2828,0.05,2.9377,2.9949,18.8724,19.9830
media,,3dd,_,2.7614,0.01327,773,208.14,<.0001,15.8224,0.2099,0.05,2.7354,2.7875,15.4156,16.2399
media,,3dp,_,2.7160,0.01388,773,195.73,<.0001,15.1194,0.2098,0.05,2.6887,2.7432,14.7131,15.5369
set*media,set1,2dd,_,2.9587,0.02913,773,101.57,<.0001,19.2734,0.5614,0.05,2.9015,3.0159,18.2022,20.4076
set*media,set1,3dd,_,2.7250,0.02653,773,102.70,<.0001,15.2569,0.4048,0.05,2.6729,2.7771,14.4825,16.0727
set*media,set1,3dp,_,2.6923,0.02775,773,97.01,<.0001,14.7660,0.4098,0.05,2.6378,2.7468,13.9830,15.5927
set*media,set2,2dd,_,2.9739,0,773,I,<.0001,19.5673,0,,,,,
set*media,set2,3dd,_,2.7978,0,773,I,<.0001,16.4088,0,,,,,
set*media,set2,3dp,_,2.7396,0,773,I,<.0001,15.4813,0,,,,,
pair_id,,,1,2.8430,0.01800,1922,157.92,<.0001,17.1678,0.3091,0.05,2.8077,2.8783,16.5723,17.7848
pair_id,,,2,2.8991,0.01367,1922,212.08,<.0001,18.1577,0.2482,0.05,2.8723,2.9259,17.6774,18.6511
pair_id,,,3,2.8103,0.01367,1922,205.58,<.0001,16.6145,0.2271,0.05,2.7835,2.8371,16.1750,17.0659
pair_id,,,4,2.7895,0.01367,1922,204.06,<.0001,16.2735,0.2225,0.05,2.7627,2.8163,15.8430,16.7157
pair_id,,,6,2.6820,0.01367,1922,196.20,<.0001,14.6147,0.1998,0.05,2.6552,2.7088,14.2281,15.0118
pair_id,,,7,2.8015,0.01367,1922,204.93,<.0001,16.4685,0.2251,0.05,2.7746,2.8283,16.0329,16.9160
pair_id,,,8,2.8667,0.01367,1922,209.70,<.0001,17.5782,0.2403,0.05,2.8399,2.8935,17.1132,18.0558
pair_id,,,9,2.8244,0.01367,1922,206.62,<.0001,16.8516,0.2304,0.05,2.7976,2.8513,16.4058,17.3095
set*pair_id,set1,,1,2.8020,0.03601,1922,77.82,<.0001,16.4774,0.5933,0.05,2.7314,2.8726,15.3540,17.6830
set*pair_id,set1,,2,2.8567,0.02734,1922,104.49,<.0001,17.4047,0.4758,0.05,2.8031,2.9104,16.4960,18.3634
set*pair_id,set1,,3,2.7982,0.02734,1922,102.35,<.0001,16.4148,0.4488,0.05,2.7446,2.8518,15.5579,17.3190
set*pair_id,set1,,4,2.7954,0.02734,1922,102.24,<.0001,16.3689,0.4475,0.05,2.7418,2.8490,15.5143,17.2705
set*pair_id,set1,,6,2.6343,0.02734,1922,96.35,<.0001,13.9341,0.3810,0.05,2.5807,2.6880,13.2066,14.7016
set*pair_id,set1,,7,2.7288,0.02734,1922,99.81,<.0001,15.3147,0.4187,0.05,2.6752,2.7824,14.5152,16.1583
set*pair_id,set1,,8,2.8874,0.02734,1922,105.61,<.0001,17.9467,0.4907,0.05,2.8338,2.9410,17.0097,18.9352
set*pair_id,set1,,9,2.8334,0.02734,1922,103.63,<.0001,17.0027,0.4649,0.05,2.7798,2.8870,16.1151,17.9393
set*pair_id,set2,,1,2.8841,0,1922,I,<.0001,17.8872,0,,,,,
set*pair_id,set2,,2,2.9415,0,1922,I,<.0001,18.9433,0,,,,,
set*pair_id,set2,,3,2.8224,0,1922,I,<.0001,16.8166,0,,,,,
set*pair_id,set2,,4,2.7837,0,1922,I,<.0001,16.1786,0,,,,,
set*pair_id,set2,,6,2.7297,0,1922,I,<.0001,15.3285,0,,,,,
set*pair_id,set2,,7,2.8741,0,1922,I,<.0001,17.7092,0,,,,,
set*pair_id,set2,,8,2.8459,0,1922,I,<.0001,17.2173,0,,,,,
set*pair_id,set2,,9,2.8155,0,1922,I,<.0001,16.7019,0,,,,,
media*pair_id,,2dd,1,3.0889,0.03796,1922,81.37,<.0001,21.9526,0.8334,0.05,3.0144,3.1633,20.3776,23.6494
media*pair_id,,2dd,2,3.0751,0.01388,1922,221.60,<.0001,21.6515,0.3004,0.05,3.0479,3.1023,21.0703,22.2489
media*pair_id,,2dd,3,2.9059,0.01388,1922,209.41,<.0001,18.2822,0.2537,0.05,2.8787,2.9331,17.7914,18.7866
media*pair_id,,2dd,4,2.9057,0.01388,1922,209.40,<.0001,18.2779,0.2536,0.05,2.8785,2.9329,17.7872,18.7821
media*pair_id,,2dd,6,2.8386,0.01388,1922,204.56,<.0001,17.0916,0.2372,0.05,2.8114,2.8658,16.6327,17.5631
media*pair_id,,2dd,7,2.8949,0.01388,1922,208.62,<.0001,18.0814,0.2509,0.05,2.8677,2.9221,17.5960,18.5802
media*pair_id,,2dd,8,3.0258,0.01388,1922,218.05,<.0001,20.6110,0.2860,0.05,2.9986,3.0530,20.0577,21.1796
media*pair_id,,2dd,9,2.9955,0.01388,1922,215.87,<.0001,19.9947,0.2775,0.05,2.9683,3.0227,19.4579,20.5464
media*pair_id,,3dd,1,2.7526,0.01327,1922,207.47,<.0001,15.6837,0.2081,0.05,2.7266,2.7786,15.2809,16.0972
media*pair_id,,3dd,2,2.8200,0.01327,1922,212.55,<.0001,16.7774,0.2226,0.05,2.7940,2.8461,16.3465,17.2197
media*pair_id,,3dd,3,2.8383,0.01327,1922,213.93,<.0001,17.0872,0.2267,0.05,2.8123,2.8644,16.6483,17.5377
media*pair_id,,3dd,4,2.7985,0.01327,1922,210.93,<.0001,16.4196,0.2178,0.05,2.7725,2.8245,15.9979,16.8524
media*pair_id,,3dd,6,2.6172,0.01327,1922,197.26,<.0001,13.6968,0.1817,0.05,2.5911,2.6432,13.3450,14.0579
media*pair_id,,3dd,7,2.7947,0.01327,1922,210.65,<.0001,16.3585,0.2170,0.05,2.7687,2.8208,15.9383,16.7897
media*pair_id,,3dd,8,2.6952,0.01327,1922,203.15,<.0001,14.8092,0.1965,0.05,2.6692,2.7213,14.4288,15.1996
media*pair_id,,3dd,9,2.7748,0.01327,1922,209.14,<.0001,16.0352,0.2127,0.05,2.7488,2.8008,15.6234,16.4579
