Effect,set,media,pair_id,Estimate,StdErr,DF,tValue,Probt,Mu,StdErrMu,Alpha,Lower,Upper,LowerMu,UpperMu
set,set1,,_,-1.4721,0.01580,773,-93.16,<.0001,0.2294,0.003626,0.05,-1.5031,-1.4411,0.2224,0.2367
set,set2,,_,-1.4273,0.01544,773,-92.46,<.0001,0.2400,0.003704,0.05,-1.4576,-1.3970,0.2328,0.2473
media,,2dd,_,-1.2984,0.02343,773,-55.41,<.0001,0.2730,0.006396,0.05,-1.3444,-1.2524,0.2607,0.2858
media,,3dd,_,-1.5029,0.003893,773,-386.08,<.0001,0.2225,0.000866,0.05,-1.5106,-1.4953,0.2208,0.2242
media,,3dp,_,-1.5478,0.003893,773,-397.61,<.0001,0.2127,0.000828,0.05,-1.5554,-1.5402,0.2111,0.2143
set*media,set1,2dd,_,-1.3059,0.04671,773,-27.96,<.0001,0.2709,0.01265,0.05,-1.3976,-1.2142,0.2472,0.2969
set*media,set1,3dd,_,-1.5393,0.003893,773,-395.42,<.0001,0.2145,0.000835,0.05,-1.5469,-1.5316,0.2129,0.2162
set*media,set1,3dp,_,-1.5712,0.003893,773,-403.62,<.0001,0.2078,0.000809,0.05,-1.5788,-1.5636,0.2062,0.2094
set*media,set2,2dd,_,-1.2908,0.04269,773,-30.23,<.0001,0.2750,0.01174,0.05,-1.3746,-1.2070,0.2529,0.2991
set*media,set2,3dd,_,-1.4666,0.003893,773,-376.75,<.0001,0.2307,0.000898,0.05,-1.4743,-1.4590,0.2290,0.2325
set*media,set2,3dp,_,-1.5244,0.003893,773,-391.59,<.0001,0.2178,0.000848,0.05,-1.5320,-1.5167,0.2161,0.2194
pair_id,,,1,-1.1731,0.03923,1922,-29.91,<.0001,0.3094,0.01214,0.05,-1.2501,-1.0962,0.2865,0.3341
pair_id,,,2,-1.2995,0.01041,1922,-124.86,<.0001,0.2727,0.002838,0.05,-1.3199,-1.2791,0.2672,0.2783
pair_id,,,3,-1.5421,0.01041,1922,-148.16,<.0001,0.2139,0.002227,0.05,-1.5625,-1.5216,0.2096,0.2184
pair_id,,,4,-1.6964,0.04134,1922,-41.03,<.0001,0.1833,0.007580,0.05,-1.7775,-1.6153,0.1691,0.1988
pair_id,,,6,-1.8049,0.06814,1922,-26.49,<.0001,0.1645,0.01121,0.05,-1.9386,-1.6713,0.1439,0.1880
pair_id,,,7,-1.5514,0.01041,1922,-149.06,<.0001,0.2119,0.002206,0.05,-1.5718,-1.5310,0.2077,0.2163
pair_id,,,8,-1.3325,0.01041,1922,-128.02,<.0001,0.2638,0.002746,0.05,-1.3529,-1.3120,0.2585,0.2693
