Effect,set,media,pair_id,_set,_media,_pair_id,Estimate,StdErr,DF,tValue,Probt,Adjustment,Adjp,Alpha,Lower,Upper,AdjLower,AdjUpper
set,set1,,_,set2,,_,1.0003,0.7219,773,1.39,0.1662,Tukey-Kramer,0.1662,0.05,-0.4167,2.4173,-0.4167,2.4173
media,,2dd,_,,3dd,_,1.6513,0.8187,773,2.02,0.0440,Tukey-Kramer,0.1088,0.05,0.04421,3.2583,-0.2711,3.5736
media,,2dd,_,,3dp,_,1.3016,0.9804,773,1.33,0.1847,Tukey-Kramer,0.3802,0.05,-0.6230,3.2262,-1.0007,3.6038
media,,3dd,_,,3dp,_,-0.3497,0.9423,773,-0.37,0.7107,Tukey-Kramer,0.9269,0.05,-2.1993,1.5000,-2.5623,1.8630
set*media,set1,2dd,_,set1,3dd,_,2.5771,1.1276,773,2.29,0.0226,Tukey-Kramer,0.2012,0.05,0.3635,4.7907,-0.6444,5.7986
set*media,set1,2dd,_,set1,3dp,_,2.0152,1.3394,773,1.50,0.1328,Tukey-Kramer,0.6614,0.05,-0.6140,4.6444,-1.8112,5.8416
set*media,set1,2dd,_,set2,2dd,_,2.0933,1.2057,773,1.74,0.0829,Tukey-Kramer,0.5082,0.05,-0.2736,4.4601,-1.3513,5.5378
set*media,set1,2dd,_,set2,3dd,_,2.8187,1.1431,773,2.47,0.0139,Tukey-Kramer,0.1357,0.05,0.5747,5.0626,-0.4470,6.0844
set*media,set1,2dd,_,set2,3dp,_,2.6812,1.3409,773,2.00,0.0459,Tukey-Kramer,0.3434,0.05,0.04897,5.3135,-1.1496,6.5121
set*media,set1,3dd,_,set1,3dp,_,-0.5619,1.2943,773,-0.43,0.6643,Tukey-Kramer,0.9980,0.05,-3.1027,1.9789,-4.2596,3.1358
set*media,set1,3dd,_,set2,2dd,_,-0.4838,1.1639,773,-0.42,0.6777,Tukey-Kramer,0.9984,0.05,-2.7686,1.8009,-3.8089,2.8413
set*media,set1,3dd,_,set2,3dd,_,0.2416,1.0866,773,0.22,0.8241,Tukey-Kramer,0.9999,0.05,-1.8915,2.3747,-2.8628,3.3459
set*media,set1,3dd,_,set2,3dp,_,0.1041,1.2953,773,0.08,0.9360,Tukey-Kramer,1.0000,0.05,-2.4387,2.6469,-3.5965,3.8048
set*media,set1,3dp,_,set2,2dd,_,0.07806,1.3685,773,0.06,0.9545,Tukey-Kramer,1.0000,0.05,-2.6084,2.7646,-3.8317,3.9878
set*media,set1,3dp,_,set2,3dd,_,0.8035,1.3078,773,0.61,0.5391,Tukey-Kramer,0.9900,0.05,-1.7637,3.3706,-2.9326,4.5396
set*media,set1,3dp,_,set2,3dp,_,0.6660,1.4282,773,0.47,0.6411,Tukey-Kramer,0.9972,0.05,-2.1376,3.4696,-3.4142,4.7462
set*media,set2,2dd,_,set2,3dd,_,0.7254,1.1757,773,0.62,0.5374,Tukey-Kramer,0.9898,0.05,-1.5826,3.0334,-2.6335,4.0843
