Effect,set,media,pair_id,Estimate,StdErr,DF,tValue,Probt,Mu,StdErrMu,Alpha,Lower,Upper,LowerMu,UpperMu
set,set1,,_,-12.6410,1.1525,773,-10.97,<.0001,-12.6410,1.1525,0.05,-14.9035,-10.3785,-14.9035,-10.3785
set,set2,,_,-13.6413,1.1594,773,-11.77,<.0001,-13.6413,1.1594,0.05,-15.9172,-11.3653,-15.9172,-11.3653
media,,2dd,_,-12.1569,1.1963,773,-10.16,<.0001,-12.1569,1.1963,0.05,-14.5052,-9.8085,-14.5052,-9.8085
media,,3dd,_,-13.8081,1.1647,773,-11.86,<.0001,-13.8081,1.1647,0.05,-16.0944,-11.5218,-16.0944,-11.5218
media,,3dp,_,-13.4584,1.2924,773,-10.41,<.0001,-13.4584,1.2924,0.05,-15.9954,-10.9214,-15.9954,-10.9214
set*media,set1,2dd,_,-11.1102,1.3244,773,-8.39,<.0001,-11.1102,1.3244,0.05,-13.7100,-8.5104,-13.7100,-8.5104
set*media,set1,3dd,_,-13.6873,1.2773,773,-10.72,<.0001,-13.6873,1.2773,0.05,-16.1948,-11.1798,-16.1948,-11.1798
set*media,set1,3dp,_,-13.1254,1.4764,773,-8.89,<.0001,-13.1254,1.4764,0.05,-16.0236,-10.2273,-16.0236,-10.2273
set*media,set2,2dd,_,-13.2035,1.3546,773,-9.75,<.0001,-13.2035,1.3546,0.05,-15.8627,-10.5443,-15.8627,-10.5443
set*media,set2,3dd,_,-13.9289,1.2929,773,-10.77,<.0001,-13.9289,1.2929,0.05,-16.4669,-11.3908,-16.4669,-11.3908
set*media,set2,3dp,_,-13.7914,1.4767,773,-9.34,<.0001,-13.7914,1.4767,0.05,-16.6903,-10.8926,-16.6903,-10.8926
pair_id,,,1,-7.3673,1.5089,1922,-4.88,<.0001,-7.3673,1.5089,0.05,-10.3267,-4.4080,-10.3267,-4.4080
pair_id,,,2,-9.4834,1.4925,1922,-6.35,<.0001,-9.4834,1.4925,0.05,-12.4106,-6.5563,-12.4106,-6.5563
pair_id,,,3,-16.1573,1.5024,1922,-10.75,<.0001,-16.1573,1.5024,0.05,-19.1038,-13.2108,-19.1038,-13.2108
pair_id,,,4,-21.0127,1.5715,1922,-13.37,<.0001,-21.0127,1.5715,0.05,-24.0948,-17.9306,-24.0948,-17.9306
pair_id,,,6,-18.8201,1.5637,1922,-12.04,<.0001,-18.8201,1.5637,0.05,-21.8868,-15.7533,-21.8868,-15.7533
pair_id,,,7,-15.5363,1.4490,1922,-10.72,<.0001,-15.5363,1.4490,0.05,-18.3781,-12.6945,-18.3781,-12.6945
pair_id,,,8,-11.8900,1.5119,1922,-7.86,<.0001,-11.8900,1.5119,0.05,-14.8551,-8.9250,-14.8551,-8.9250
pair_id,,,9,-4.8619,1.4896,1922,-3.26,0.0011,-4.8619,1.4896,0.05,-7.7833,-1.9404,-7.7833,-1.9404
set*pair_id,set1,,1,-5.1819,1.8017,1922,-2.88,0.0041,-5.1819,1.8017,0.05,-8.7153,-1.6484,-8.7153,-1.6484
set*pair_id,set1,,2,-10.6447,1.7629,1922,-6.04,<.0001,-10.6447,1.7629,0.05,-14.1020,-7.1874,-14.1020,-7.1874
set*pair_id,set1,,3,-15.3825,1.8318,1922,-8.40,<.0001,-15.3825,1.8318,0.05,-18.9751,-11.7899,-18.9751,-11.7899
set*pair_id,set1,,4,-21.1125,1.9226,1922,-10.98,<.0001,-21.1125,1.9226,0.05,-24.8830,-17.3419,-24.8830,-17.3419
set*pair_id,set1,,6,-18.5101,1.8032,1922,-10.27,<.0001,-18.5101,1.8032,0.05,-22.0465,-14.9736,-22.0465,-14.9736
set*pair_id,set1,,7,-12.4476,1.7473,1922,-7.12,<.0001,-12.4476,1.7473,0.05,-15.8744,-9.0208,-15.8744,-9.0208
set*pair_id,set1,,8,-11.1531,1.8123,1922,-6.15,<.0001,-11.1531,1.8123,0.05,-14.7074,-7.5988,-14.7074,-7.5988
set*pair_id,set1,,9,-6.6955,1.7772,1922,-3.77,0.0002,-6.6955,1.7772,0.05,-10.1810,-3.2101,-10.1810,-3.2101
set*pair_id,set2,,1,-9.5528,1.8472,1922,-5.17,<.0001,-9.5528,1.8472,0.05,-13.1756,-5.9301,-13.1756,-5.9301
set*pair_id,set2,,2,-8.3222,1.8179,1922,-4.58,<.0001,-8.3222,1.8179,0.05,-11.8874,-4.7569,-11.8874,-4.7569
set*pair_id,set2,,3,-16.9321,1.7859,1922,-9.48,<.0001,-16.9321,1.7859,0.05,-20.4346,-13.4296,-20.4346,-13.4296
set*pair_id,set2,,4,-20.9129,1.9043,1922,-10.98,<.0001,-20.9129,1.9043,0.05,-24.6475,-17.1783,-24.6475,-17.1783
set*pair_id,set2,,6,-19.1301,2.0041,1922,-9.55,<.0001,-19.1301,2.0041,0.05,-23.0605,-15.1997,-23.0605,-15.1997
set*pair_id,set2,,7,-18.6250,1.7114,1922,-10.88,<.0001,-18.6250,1.7114,0.05,-21.9814,-15.2685,-21.9814,-15.2685
set*pair_id,set2,,8,-12.6269,1.8297,1922,-6.90,<.0001,-12.6269,1.8297,0.05,-16.2152,-9.0386,-16.2152,-9.0386
set*pair_id,set2,,9,-3.0282,1.7974,1922,-1.68,0.0922,-3.0282,1.7974,0.05,-6.5532,0.4967,-6.5532,0.4967
media*pair_id,,2dd,1,-4.5694,1.9712,1922,-2.32,0.0205,-4.5694,1.9712,0.05,-8.4353,-0.7035,-8.4353,-0.7035
media*pair_id,,2dd,2,-4.3589,1.9921,1922,-2.19,0.0288,-4.3589,1.9921,0.05,-8.2657,-0.4521,-8.2657,-0.4521
media*pair_id,,2dd,3,-13.0917,1.9505,1922,-6.71,<.0001,-13.0917,1.9505,0.05,-16.9170,-9.2664,-16.9170,-9.2664
media*pair_id,,2dd,4,-21.5870,2.0715,1922,-10.42,<.0001,-21.5870,2.0715,0.05,-25.6496,-17.5244,-25.6496,-17.5244
media*pair_id,,2dd,6,-20.7251,2.4652,1922,-8.41,<.0001,-20.7251,2.4652,0.05,-25.5599,-15.8903,-25.5599,-15.8903
media*pair_id,,2dd,7,-15.5662,1.9100,1922,-8.15,<.0001,-15.5662,1.9100,0.05,-19.3120,-11.8203,-19.3120,-11.8203
media*pair_id,,2dd,8,-10.9182,1.9690,1922,-5.54,<.0001,-10.9182,1.9690,0.05,-14.7799,-7.0565,-14.7799,-7.0565
media*pair_id,,2dd,9,-6.4384,1.9129,1922,-3.37,0.0008,-6.4384,1.9129,0.05,-10.1900,-2.6868,-10.1900,-2.6868
media*pair_id,,3dd,1,-7.7746,1.8839,1922,-4.13,<.0001,-7.7746,1.8839,0.05,-11.4692,-4.0800,-11.4692,-4.0800
media*pair_id,,3dd,2,-11.0173,1.9097,1922,-5.77,<.0001,-11.0173,1.9097,0.05,-14.7626,-7.2720,-14.7626,-7.2720
media*pair_id,,3dd,3,-19.7457,1.8601,1922,-10.62,<.0001,-19.7457,1.8601,0.05,-23.3937,-16.0977,-23.3937,-16.0977
media*pair_id,,3dd,4,-21.3110,1.9612,1922,-10.87,<.0001,-21.3110,1.9612,0.05,-25.1573,-17.4648,-25.1573,-17.4648
media*pair_id,,3dd,6,-17.6479,1.9133,1922,-9.22,<.0001,-17.6479,1.9133,0.05,-21.4002,-13.8956,-21.4002,-13.8956
media*pair_id,,3dd,7,-16.5135,1.8108,1922,-9.12,<.0001,-16.5135,1.8108,0.05,-20.0649,-12.9621,-20.0649,-12.9621
media*pair_id,,3dd,8,-10.4211,1.9527,1922,-5.34,<.0001,-10.4211,1.9527,0.05,-14.2508,-6.5915,-14.2508,-6.5915
media*pair_id,,3dd,9,-6.0337,1.8740,1922,-3.22,0.0013,-6.0337,1.8740,0.05,-9.7090,-2.3584,-9.7090,-2.3584
media*pair_id,,3dp,1,-9.7580,2.4110,1922,-4.05,<.0001,-9.7580,2.4110,0.05,-14.4864,-5.0296,-14.4864,-5.0296
media*pair_id,,3dp,2,-13.0741,2.2331,1922,-5.85,<.0001,-13.0741,2.2331,0.05,-17.4537,-8.6945,-17.4537,-8.6945
media*pair_id,,3dp,3,-15.6346,2.4025,1922,-6.51,<.0001,-15.6346,2.4025,0.05,-20.3464,-10.9229,-20.3464,-10.9229
media*pair_id,,3dp,4,-20.1400,2.5656,1922,-7.85,<.0001,-20.1400,2.5656,0.05,-25.1717,-15.1082,-25.1717,-15.1082
media*pair_id,,3dp,6,-18.0872,2.1932,1922,-8.25,<.0001,-18.0872,2.1932,0.05,-22.3885,-13.7860,-22.3885,-13.7860
media*pair_id,,3dp,7,-14.5292,2.1969,1922,-6.61,<.0001,-14.5292,2.1969,0.05,-18.8377,-10.2207,-18.8377,-10.2207
media*pair_id,,3dp,8,-14.3307,2.3409,1922,-6.12,<.0001,-14.3307,2.3409,0.05,-18.9217,-9.7398,-18.9217,-9.7398
media*pair_id,,3dp,9,-2.1136,2.3395,1922,-0.90,0.3664,-2.1136,2.3395,0.05,-6.7018,2.4746,-6.7018,2.4746
set*media*pair_id,set1,2dd,1,-2.2000,2.5395,1922,-0.87,0.3864,-2.2000,2.5395,0.05,-7.1804,2.7804,-7.1804,2.7804
set*media*pair_id,set1,2dd,2,-6.8591,2.5074,1922,-2.74,0.0063,-6.8591,2.5074,0.05,-11.7766,-1.9417,-11.7766,-1.9417
set*media*pair_id,set1,2dd,3,-12.4530,2.6603,1922,-4.68,<.0001,-12.4530,2.6603,0.05,-17.6704,-7.2357,-17.6704,-7.2357
set*media*pair_id,set1,2dd,4,-21.0667,2.6987,1922,-7.81,<.0001,-21.0667,2.6987,0.05,-26.3594,-15.7741,-26.3594,-15.7741
