set,media,pair_id,user_set_order,user_trial_order,user_id,user_larger,user_slider,slider_start,slider_clicks,clicks_3dd,start_time,end_time,block,system_time,trial_diff_with_block,stage,is_218_student,data_consent,user_age,user_gender,user_education,user_reason,user_unique,z,true_ratio,true_larger,q1_correct,q2_signed_error,q2_abs_error,q2_cm_error
practice,2dd,2,1,1,2225f1dc80a8164c419fc542469b24c3,r,49,77.93324235826731,7,0,1753900977.0918791,1753901100.517709,6,1753900977.052779,0.03910017013549805,practice,TRUE,TRUE,19-25,Female,Some Undergraduate Courses,Participation credit,Walle,50,0.6666666666666667,r,TRUE,-17.66666666666667,17.66666666666667,4.153129758899334
practice,2dd,6,1,2,2225f1dc80a8164c419fc542469b24c3,Both values are the same,96.1,95.37641368806362,1,0,1753901100.552557,1753901158.140954,6,1753900977.052779,123.49977803230286,practice,TRUE,TRUE,19-25,Female,Some Undergraduate Courses,Participation credit,Walle,56.25,0.8888888888888888,m,FALSE,7.211111111111109,7.211111111111109,2.8750154898374176
practice,3dd,2,2,3,2225f1dc80a8164c419fc542469b24c3,r,20.1,76.93433614913374,6,3,1753901158.152409,1753901269.3513396,6,1753900977.052779,181.09963011741638,practice,TRUE,TRUE,19-25,Female,Some Undergraduate Courses,Participation credit,Walle,50,0.6666666666666667,r,TRUE,-46.56666666666667,46.56666666666667,5.545093181621672
practice,3dd,6,2,4,2225f1dc80a8164c419fc542469b24c3,M,48.6,37.66128607094288,6,1,1753901269.3647869,1753901362.7841792,6,1753900977.052779,292.31200790405273,practice,TRUE,TRUE,19-25,Female,Some Undergraduate Courses,Participation credit,Walle,56.25,0.8888888888888888,m,FALSE,-40.288888888888884,40.288888888888884,5.33677927864747
set1,3dd,8,1,1,2225f1dc80a8164c419fc542469b24c3,y,0,0.8183893281966448,1,3,1753901269.3647869,1753901434.4649928,6,1753900977.052779,292.31200790405273,experiment,TRUE,TRUE,19-25,Female,Some Undergraduate Courses,Participation credit,Walle,74.99999999999999,0.6666666666666667,y,TRUE,-66.66666666666667,66.66666666666667,6.061596209433392
set1,3dd,5,1,2,2225f1dc80a8164c419fc542469b24c3,F,19.8,1.318062050268054,6,2,1753901434.476759,1753901513.1115615,6,1753900977.052779,457.4239799976349,experiment,TRUE,TRUE,19-25,Female,Some Undergraduate Courses,Participation credit,Walle,50,1,Both values are the same,FALSE,-80.2,80.2,6.32777717058405
set1,3dd,1,1,3,2225f1dc80a8164c419fc542469b24c3,D,0,90.04071319941431,1,1,1753901513.1250398,1753901559.0837078,6,1753900977.052779,536.0722608566284,experiment,TRUE,TRUE,19-25,Female,Some Undergraduate Courses,Participation credit,Walle,50,0.5555555555555556,D,TRUE,-55.55555555555556,55.55555555555556,5.799101700708459
set1,3dd,7,1,4,2225f1dc80a8164c419fc542469b24c3,Q,16.2,15.357738710008562,5,1,1753901559.0952218,1753901616.932063,6,1753900977.052779,582.0424427986145,experiment,TRUE,TRUE,19-25,Female,Some Undergraduate Courses,Participation credit,Walle,64.28571428571428,0.7777777777777779,q,FALSE,-61.57777777777778,61.57777777777778,5.947263533954397
set2,3dd,1,2,5,2225f1dc80a8164c419fc542469b24c3,Both values are the same,100,78.80200336221606,2,0,1753901616.9439006,1753901640.48379,6,1753900977.052779,639.8911216259003,experiment,TRUE,TRUE,19-25,Female,Some Undergraduate Courses,Participation credit,Walle,50,0.5555555555555556,d,FALSE,44.44444444444444,44.44444444444444,5.477983072839495
set2,3dd,8,2,6,2225f1dc80a8164c419fc542469b24c3,Y,28.2,25.386347388848662,1,1,1753901640.4957733,1753901703.4701183,6,1753900977.052779,663.4429943561554,experiment,TRUE,TRUE,19-25,Female,Some Undergraduate Courses,Participation credit,Walle,74.99999999999999,0.6666666666666667,y,FALSE,-38.46666666666667,38.46666666666667,5.270217446095175
set2,3dd,7,2,7,2225f1dc80a8164c419fc542469b24c3,q,33.2,51.17599139921367,5,0,1753901703.4845955,1753901814.0092046,6,1753900977.052779,726.4318165779114,experiment,TRUE,TRUE,19-25,Female,Some Undergraduate Courses,Participation credit,Walle,64.28571428571428,0.7777777777777779,q,TRUE,-44.57777777777778,44.57777777777778,5.48229257644611
set2,3dd,5,2,8,2225f1dc80a8164c419fc542469b24c3,f,29.4,64.32576673105359,5,0,1753901814.0237262,1753901870.2508323,6,1753900977.052779,836.970947265625,experiment,TRUE,TRUE,19-25,Female,Some Undergraduate Courses,Participation credit,Walle,50,1,Both values are the same,FALSE,-70.6,70.6,6.14414836650889
set1,2dd,1,3,9,2225f1dc80a8164c419fc542469b24c3,D,0,67.70947310142219,1,0,1753901870.2622957,1753901928.3165238,6,1753900977.052779,893.2095167636871,experiment,TRUE,TRUE,19-25,Female,Some Undergraduate Courses,Participation credit,Walle,50,0.5555555555555556,D,TRUE,-55.55555555555556,55.55555555555556,5.799101700708459
set1,2dd,8,3,10,2225f1dc80a8164c419fc542469b24c3,y,41.5,53.378875204361975,1,0,1753901928.3273005,1753901980.2856104,6,1753900977.052779,951.2745215892792,experiment,TRUE,TRUE,19-25,Female,Some Undergraduate Courses,Participation credit,Walle,74.99999999999999,0.6666666666666667,y,TRUE,-25.16666666666667,25.16666666666667,4.660590205534526
set1,2dd,7,3,11,2225f1dc80a8164c419fc542469b24c3,q,0,29.05012513510883,1,0,1753901980.299542,1753902021.7655115,6,1753900977.052779,1003.2467629909515,experiment,TRUE,TRUE,19-25,Female,Some Undergraduate Courses,Participation credit,Walle,64.28571428571428,0.7777777777777779,q,TRUE,-77.77777777777779,77.77777777777779,6.283602866239473
set1,2dd,5,3,12,2225f1dc80a8164c419fc542469b24c3,F,80.8,55.45266417320818,7,0,1753902021.7936745,1753902081.3655813,6,1753900977.052779,1044.7408955097198,experiment,TRUE,TRUE,19-25,Female,Some Undergraduate Courses,Participation credit,Walle,50,1,Both values are the same,FALSE,-19.200000000000003,19.200000000000003,4.272396509037486
set2,2dd,1,4,13,2225f1dc80a8164c419fc542469b24c3,d,49.3,49.03335634153336,1,0,1753902081.3760853,1753902111.3992367,6,1753900977.052779,1104.3233063220978,experiment,TRUE,TRUE,19-25,Female,Some Undergraduate Courses,Participation credit,Walle,50,0.5555555555555556,d,TRUE,-6.25555555555556,6.25555555555556,2.67368204504825
set2,2dd,8,4,14,2225f1dc80a8164c419fc542469b24c3,y,8.5,9.331632382236421,1,0,1753902111.413465,1753902148.299765,6,1753900977.052779,1134.3606860637665,experiment,TRUE,TRUE,19-25,Female,Some Undergraduate Courses,Participation credit,Walle,74.99999999999999,0.6666666666666667,y,TRUE,-58.16666666666667,58.16666666666667,5.865217746443597
set2,2dd,7,4,15,2225f1dc80a8164c419fc542469b24c3,q,20,30.134251597337425,7,0,1753902148.3111246,1753902201.1326501,6,1753900977.052779,1171.2583456039429,experiment,TRUE,TRUE,19-25,Female,Some Undergraduate Courses,Participation credit,Walle,64.28571428571428,0.7777777777777779,q,TRUE,-57.777777777777786,57.777777777777786,5.855560655366077
set2,2dd,5,4,16,2225f1dc80a8164c419fc542469b24c3,F,0,11.753213428892195,1,0,1753902201.143566,1753902231.5324101,6,1753900977.052779,1224.090786933899,experiment,TRUE,TRUE,19-25,Female,Some Undergraduate Courses,Participation credit,Walle,50,1,Both values are the same,FALSE,-100,100,6.64565843240871
practice,2dd,1,1,1,0ed4c738b86d5cd8202b19777836cc6c,D,80.9884026879445,80.98840268794447,1,0,1754103397.0446115,1754103411.0084448,12,1754103397.0046916,0.03991985321044922,practice,TRUE,TRUE,19-25,Female,Some Undergraduate Courses,Participation credit,disney,50,0.5555555555555556,d,FALSE,25.432847132388943,25.432847132388943,4.675694410740474
practice,2dd,9,1,2,0ed4c738b86d5cd8202b19777836cc6c,A,49.2,44.809594680555165,1,0,1754103411.0193279,1754103424.6357315,12,1754103397.0046916,14.014636278152466,practice,TRUE,TRUE,19-25,Female,Some Undergraduate Courses,Participation credit,disney,90,0.5555555555555556,a,FALSE,-6.355555555555554,6.355555555555554,2.696117495654524
practice,3dd,1,2,3,0ed4c738b86d5cd8202b19777836cc6c,D,87,89.55777261871845,1,0,1754103424.6481545,1754103441.6125567,12,1754103397.0046916,27.643462896347046,practice,TRUE,TRUE,19-25,Female,Some Undergraduate Courses,Participation credit,disney,50,0.5555555555555556,d,FALSE,31.444444444444443,31.444444444444443,4.9804569673755354
practice,3dd,9,2,4,0ed4c738b86d5cd8202b19777836cc6c,A,72.3,67.21208898816258,1,0,1754103441.6242478,1754103446.7242827,12,1754103397.0046916,44.619556188583374,practice,TRUE,TRUE,19-25,Female,Some Undergraduate Courses,Participation credit,disney,90,0.5555555555555556,a,FALSE,16.74444444444444,16.74444444444444,4.076340557520398
set1,3dd,4,1,1,0ed4c738b86d5cd8202b19777836cc6c,h,42.9,26.376256439834833,1,0,1754103441.6242478,1754103456.775803,12,1754103397.0046916,44.619556188583374,experiment,TRUE,TRUE,19-25,Female,Some Undergraduate Courses,Participation credit,disney,50,0.8888888888888888,h,TRUE,-45.98888888888889,45.98888888888889,5.527129431514141
set1,3dd,1,1,2,0ed4c738b86d5cd8202b19777836cc6c,D,21.9,3.900918993167579,2,0,1754103456.7861311,1754103463.1943223,12,1754103397.0046916,59.781439542770386,experiment,TRUE,TRUE,19-25,Female,Some Undergraduate Courses,Participation credit,disney,50,0.5555555555555556,D,TRUE,-33.65555555555556,33.65555555555556,5.078121149807425
set1,3dd,6,1,3,0ed4c738b86d5cd8202b19777836cc6c,M,43.4,30.869160825386643,1,0,1754103463.2070153,1754103469.1092787,12,1754103397.0046916,66.20232367515564,experiment,TRUE,TRUE,19-25,Female,Some Undergraduate Courses,Participation credit,disney,56.25,0.8888888888888888,m,FALSE,-45.48888888888889,45.48888888888889,5.511401269721098
set1,3dd,7,1,4,0ed4c738b86d5cd8202b19777836cc6c,Q,84.7,87.55815827753395,1,0,1754103469.1378286,1754103474.3099184,12,1754103397.0046916,72.13313698768616,experiment,TRUE,TRUE,19-25,Female,Some Undergraduate Courses,Participation credit,disney,64.28571428571428,0.7777777777777779,q,FALSE,6.922222222222217,6.922222222222217,2.8170547077342634
set1,2dd,6,2,5,0ed4c738b86d5cd8202b19777836cc6c,Both values are the same,58.9,43.01111791282892,1,0,1754103474.320742,1754103481.4855366,12,1754103397.0046916,77.3160502910614,experiment,TRUE,TRUE,19-25,Female,Some Undergraduate Courses,Participation credit,disney,56.25,0.8888888888888888,m,FALSE,-29.988888888888887,29.988888888888887,4.912357123721523
set1,2dd,7,2,6,0ed4c738b86d5cd8202b19777836cc6c,Q,53,22.55164582747966,1,0,1754103481.5003335,1754103487.7561889,12,1754103397.0046916,84.4956419467926,experiment,TRUE,TRUE,19-25,Female,Some Undergraduate Courses,Participation credit,disney,64.28571428571428,0.7777777777777779,q,FALSE,-24.777777777777786,24.777777777777786,4.638234771426063
set1,2dd,4,2,7,0ed4c738b86d5cd8202b19777836cc6c,Both values are the same,25.9,7.433447055518627,1,0,1754103487.7667933,1754103495.2141027,12,1754103397.0046916,90.76210165023804,experiment,TRUE,TRUE,19-25,Female,Some Undergraduate Courses,Participation credit,disney,50,0.8888888888888888,h,FALSE,-62.98888888888889,62.98888888888889,5.9798856155664355
set1,2dd,1,2,8,0ed4c738b86d5cd8202b19777836cc6c,d,81.6,72.71293275989592,1,0,1754103495.2248435,1754103501.5940735,12,1754103397.0046916,98.22015190124512,experiment,TRUE,TRUE,19-25,Female,Some Undergraduate Courses,Participation credit,disney,50,0.5555555555555556,D,FALSE,26.044444444444437,26.044444444444437,4.709811392381738
set2,2dd,7,3,9,0ed4c738b86d5cd8202b19777836cc6c,Q,86.7,91.5438812226057,1,0,1754103501.6097004,1754103508.179809,12,1754103397.0046916,104.60500884056091,experiment,TRUE,TRUE,19-25,Female,Some Undergraduate Courses,Participation credit,disney,64.28571428571428,0.7777777777777779,q,FALSE,8.922222222222217,8.922222222222217,3.1774749080662277
set2,2dd,1,3,10,0ed4c738b86d5cd8202b19777836cc6c,D,22.4,2.8220030711963773,1,0,1754103508.1905556,1754103514.8400211,12,1754103397.0046916,111.1858639717102,experiment,TRUE,TRUE,19-25,Female,Some Undergraduate Courses,Participation credit,disney,50,0.5555555555555556,d,FALSE,-33.15555555555556,33.15555555555556,5.056607611616222
set2,2dd,4,3,11,0ed4c738b86d5cd8202b19777836cc6c,Both values are the same,74.8,84.26921092905104,1,0,1754103514.8525853,1754103520.792998,12,1754103397.0046916,117.84789371490479,experiment,TRUE,TRUE,19-25,Female,Some Undergraduate Courses,Participation credit,disney,50,0.8888888888888888,H,FALSE,-14.088888888888889,14.088888888888889,3.829229421680367
set2,2dd,6,3,12,0ed4c738b86d5cd8202b19777836cc6c,Both values are the same,31.8,23.702329583466053,1,0,1754103520.8050425,1754103525.8225775,12,1754103397.0046916,123.80035090446472,experiment,TRUE,TRUE,19-25,Female,Some Undergraduate Courses,Participation credit,disney,56.25,0.8888888888888888,m,FALSE,-57.08888888888889,57.08888888888889,5.838293504108603
set2,3dd,1,4,13,0ed4c738b86d5cd8202b19777836cc6c,Both values are the same,70,89.46624929085374,1,0,1754103525.8345141,1754103531.2094498,12,1754103397.0046916,128.8298225402832,experiment,TRUE,TRUE,19-25,Female,Some Undergraduate Courses,Participation credit,disney,50,0.5555555555555556,d,FALSE,14.444444444444443,14.444444444444443,3.864873961134955
set2,3dd,7,4,14,0ed4c738b86d5cd8202b19777836cc6c,q,68.7,82.12968644220382,1,0,1754103531.222168,1754103537.1521075,12,1754103397.0046916,134.21747636795044,experiment,TRUE,TRUE,19-25,Female,Some Undergraduate Courses,Participation credit,disney,64.28571428571428,0.7777777777777779,q,TRUE,-9.077777777777783,9.077777777777783,3.2020693917513405
set2,3dd,6,4,15,0ed4c738b86d5cd8202b19777836cc6c,M,27.7,6.1678559286519885,1,0,1754103537.1629488,1754103542.5822773,12,1754103397.0046916,140.15825724601746,experiment,TRUE,TRUE,19-25,Female,Some Undergraduate Courses,Participation credit,disney,56.25,0.8888888888888888,m,FALSE,-61.18888888888888,61.18888888888888,5.938142006674573
set2,3dd,4,4,16,0ed4c738b86d5cd8202b19777836cc6c,H,44.4,99.01755137834698,1,0,1754103542.5929456,1754103547.340108,12,1754103397.0046916,145.58825397491455,experiment,TRUE,TRUE,19-25,Female,Some Undergraduate Courses,Participation credit,disney,50,0.8888888888888888,H,TRUE,-44.48888888888889,44.48888888888889,5.479421004850031
practice,2dd,5,1,1,07828319b83df9a6305e58ded879cb9c,Both values are the same,98.9850547164679,98.98505471646786,1,0,1754184661.1518154,1754184816.358116,10,1754184661.1112823,0.04053306579589844,practice,TRUE,TRUE,41-45,Female,Some Graduate Courses,Participation credit,Moulin Rouge,50,1,Both values are the same,TRUE,-1.0149452835321,1.0149452835321,0.18896457783618115
practice,2dd,7,1,2,07828319b83df9a6305e58ded879cb9c,Q,56.7,12.705463054589927,10,0,1754184816.3699088,1754184871.533029,10,1754184661.1112823,155.25862646102905,practice,TRUE,TRUE,41-45,Female,Some Graduate Courses,Participation credit,Moulin Rouge,64.28571428571428,0.7777777777777779,Q,TRUE,-21.077777777777783,21.077777777777783,4.406181379661812
practice,3dd,5,2,3,07828319b83df9a6305e58ded879cb9c,Both values are the same,100,21.80033482145518,2,4,1754184871.5463836,1754184901.3641098,10,1754184661.1112823,210.43510127067566,practice,TRUE,TRUE,41-45,Female,Some Graduate Courses,Participation credit,Moulin Rouge,50,1,Both values are the same,TRUE,0,0,-3
practice,3dd,7,2,4,07828319b83df9a6305e58ded879cb9c,Q,80.3,41.25806735828519,1,3,1754184901.3973756,1754184925.4769785,10,1754184661.1112823,240.28609323501587,practice,TRUE,TRUE,41-45,Female,Some Graduate Courses,Participation credit,Moulin Rouge,64.28571428571428,0.7777777777777779,Q,TRUE,2.5222222222222115,2.5222222222222115,1.4044793075802613
set2,2dd,5,1,1,07828319b83df9a6305e58ded879cb9c,Both values are the same,100,32.59564640466124,1,0,1754184901.3973756,1754184958.327523,10,1754184661.1112823,240.28609323501587,experiment,TRUE,TRUE,41-45,Female,Some Graduate Courses,Participation credit,Moulin Rouge,50,1,Both values are the same,TRUE,0,0,-3
set2,2dd,9,1,2,07828319b83df9a6305e58ded879cb9c,a,52.3,40.588524006307125,2,0,1754184958.3411958,1754184982.0759819,10,1754184661.1112823,297.2299134731293,experiment,TRUE,TRUE,41-45,Female,Some Graduate Courses,Participation credit,Moulin Rouge,90,0.5555555555555556,a,TRUE,-3.25555555555556,3.25555555555556,1.7572603563840556
set2,2dd,7,1,3,07828319b83df9a6305e58ded879cb9c,q,77.2,21.899703983217478,6,0,1754184982.0952694,1754185011.576061,10,1754184661.1112823,320.9839870929718,experiment,TRUE,TRUE,41-45,Female,Some Graduate Courses,Participation credit,Moulin Rouge,64.28571428571428,0.7777777777777779,q,TRUE,-0.5777777777777828,0.5777777777777828,-0.5088595216353542
