Effect,set,media,pair_id,_set,_media,_pair_id,Estimate,StdErr,DF,tValue,Probt,Adjustment,Adjp,Alpha,Lower,Upper,AdjLower,AdjUpper
set*media*pair_id,set1,2dd,1,set1,2dd,2,-0.5450,2.1284,3006,-0.26,0.7979,Tukey-Kramer,1.0000,0.05,-4.7183,3.6284,-9.1277,8.0378
set*media*pair_id,set1,2dd,1,set1,2dd,3,0.8936,0.5279,3006,1.69,0.0906,Tukey-Kramer,1.0000,0.05,-0.1416,1.9287,-1.2353,3.0224
set*media*pair_id,set1,2dd,1,set1,2dd,4,0.03334,0.9853,3006,0.03,0.9730,Tukey-Kramer,1.0000,0.05,-1.8986,1.9653,-3.9398,4.0065
set*media*pair_id,set1,2dd,1,set1,2dd,5,1.2900,2.6887,3006,0.48,0.6314,Tukey-Kramer,1.0000,0.05,-3.9819,6.5620,-9.5521,12.1321
set*media*pair_id,set1,2dd,1,set1,2dd,6,1.2824,2.4444,3006,0.52,0.5999,Tukey-Kramer,1.0000,0.05,-3.5105,6.0754,-8.5746,11.1394
set*media*pair_id,set1,2dd,1,set1,2dd,7,0.5646,3.5355,3006,0.16,0.8731,Tukey-Kramer,1.0000,0.05,-6.3676,7.4967,-13.6918,14.8209
set*media*pair_id,set1,2dd,1,set1,2dd,8,-0.4353,2.4462,3006,-0.18,0.8588,Tukey-Kramer,1.0000,0.05,-5.2318,4.3612,-10.2995,9.4289
set*media*pair_id,set1,2dd,1,set1,2dd,9,-0.8719,2.4444,3006,-0.36,0.7213,Tukey-Kramer,1.0000,0.05,-5.6649,3.9210,-10.7289,8.9851
set*media*pair_id,set1,2dd,1,set1,3dd,1,-1.6349,1.7887,3006,-0.91,0.3608,Tukey-Kramer,1.0000,0.05,-5.1422,1.8724,-8.8478,5.5780
set*media*pair_id,set1,2dd,1,set1,3dd,2,-1.9585,2.5424,3006,-0.77,0.4411,Tukey-Kramer,1.0000,0.05,-6.9435,3.0264,-12.2103,8.2933
set*media*pair_id,set1,2dd,1,set1,3dd,3,-1.4401,0.9663,3006,-1.49,0.1362,Tukey-Kramer,1.0000,0.05,-3.3349,0.4546,-5.3368,2.4565
set*media*pair_id,set1,2dd,1,set1,3dd,4,-1.1071,0.9202,3006,-1.20,0.2290,Tukey-Kramer,1.0000,0.05,-2.9113,0.6972,-4.8177,2.6036
set*media*pair_id,set1,2dd,1,set1,3dd,5,1.1446,2.8735,3006,0.40,0.6904,Tukey-Kramer,1.0000,0.05,-4.4896,6.7788,-10.4425,12.7317
set*media*pair_id,set1,2dd,1,set1,3dd,6,-0.6116,2.8735,3006,-0.21,0.8315,Tukey-Kramer,1.0000,0.05,-6.2458,5.0226,-12.1987,10.9755
set*media*pair_id,set1,2dd,1,set1,3dd,7,-0.7598,3.9604,3006,-0.19,0.8479,Tukey-Kramer,1.0000,0.05,-8.5251,7.0056,-16.7296,15.2101
set*media*pair_id,set1,2dd,1,set1,3dd,8,-1.3512,2.6779,3006,-0.50,0.6139,Tukey-Kramer,1.0000,0.05,-6.6019,3.8996,-12.1497,9.4473
set*media*pair_id,set1,2dd,1,set1,3dd,9,-3.1908,2.8735,3006,-1.11,0.2669,Tukey-Kramer,1.0000,0.05,-8.8250,2.4434,-14.7779,8.3963
set*media*pair_id,set1,2dd,1,set1,3dp,1,-0.3244,4.2167,3006,-0.08,0.9387,Tukey-Kramer,1.0000,0.05,-8.5923,7.9435,-17.3278,16.6790
set*media*pair_id,set1,2dd,1,set1,3dp,2,-0.6783,6.3217,3006,-0.11,0.9146,Tukey-Kramer,1.0000,0.05,-13.0735,11.7170,-26.1699,24.8134
set*media*pair_id,set1,2dd,1,set1,3dp,3,-1.0181,4.6858,3006,-0.22,0.8280,Tukey-Kramer,1.0000,0.05,-10.2058,8.1696,-19.9130,17.8768
set*media*pair_id,set1,2dd,1,set1,3dp,4,0.04751,4.6464,3006,0.01,0.9918,Tukey-Kramer,1.0000,0.05,-9.0630,9.1580,-18.6887,18.7837
set*media*pair_id,set1,2dd,1,set1,3dp,5,1.0125,6.6518,3006,0.15,0.8790,Tukey-Kramer,1.0000,0.05,-12.0300,14.0550,-25.8101,27.8352
set*media*pair_id,set1,2dd,1,set1,3dp,6,-0.02949,6.6518,3006,-0.00,0.9965,Tukey-Kramer,1.0000,0.05,-13.0720,13.0130,-26.8521,26.7931
set*media*pair_id,set1,2dd,1,set1,3dp,7,-0.4335,7.7354,3006,-0.06,0.9553,Tukey-Kramer,1.0000,0.05,-15.6008,14.7337,-31.6259,30.7588
set*media*pair_id,set1,2dd,1,set1,3dp,8,-0.2854,6.6376,3006,-0.04,0.9657,Tukey-Kramer,1.0000,0.05,-13.3001,12.7294,-27.0510,26.4802
set*media*pair_id,set1,2dd,1,set1,3dp,9,-0.5098,6.6518,3006,-0.08,0.9389,Tukey-Kramer,1.0000,0.05,-13.5523,12.5327,-27.3324,26.3129
set*media*pair_id,set1,2dd,1,set2,2dd,1,0.1151,3.7802,3006,0.03,0.9757,Tukey-Kramer,1.0000,0.05,-7.2970,7.5272,-15.1282,15.3585
set*media*pair_id,set1,2dd,1,set2,2dd,2,0.5471,5.8712,3006,0.09,0.9258,Tukey-Kramer,1.0000,0.05,-10.9650,12.0592,-23.1281,24.2223
set*media*pair_id,set1,2dd,1,set2,2dd,3,-1.1111,4.2555,3006,-0.26,0.7940,Tukey-Kramer,1.0000,0.05,-9.4551,7.2330,-18.2711,16.0490
set*media*pair_id,set1,2dd,1,set2,2dd,4,0.06829,4.6605,3006,0.01,0.9883,Tukey-Kramer,1.0000,0.05,-9.0697,9.2063,-18.7245,18.8611
set*media*pair_id,set1,2dd,1,set2,2dd,5,2.6033,6.2175,3006,0.42,0.6755,Tukey-Kramer,1.0000,0.05,-9.5876,14.7943,-22.4680,27.6747
set*media*pair_id,set1,2dd,1,set2,2dd,6,3.4287,6.2175,3006,0.55,0.5814,Tukey-Kramer,1.0000,0.05,-8.7622,15.6196,-21.6427,28.5001
set*media*pair_id,set1,2dd,1,set2,2dd,7,-0.3770,6.2175,3006,-0.06,0.9517,Tukey-Kramer,1.0000,0.05,-12.5680,11.8139,-25.4484,24.6943
set*media*pair_id,set1,2dd,1,set2,2dd,8,-0.8579,4.9022,3006,-0.18,0.8611,Tukey-Kramer,1.0000,0.05,-10.4699,8.7540,-20.6255,18.9096
set*media*pair_id,set1,2dd,1,set2,2dd,9,-0.7389,6.2175,3006,-0.12,0.9054,Tukey-Kramer,1.0000,0.05,-12.9299,11.4520,-25.8103,24.3324
set*media*pair_id,set1,2dd,1,set2,3dd,1,-0.6286,3.5520,3006,-0.18,0.8595,Tukey-Kramer,1.0000,0.05,-7.5932,6.3359,-14.9517,13.6944
