Effect,set,media,pair_id,_set,_media,_pair_id,Estimate,StdErr,DF,tValue,Probt,Adjustment,Adjp,Alpha,Lower,Upper,AdjLower,AdjUpper
set*media*pair_id,set1,2dd,1,set1,2dd,2,-0.3462,13.6513,3823,-0.03,0.9798,Tukey-Kramer,1.0000,0.05,-27.1106,26.4183,-55.3803,54.6879
set*media*pair_id,set1,2dd,1,set1,2dd,3,0.8474,2.5791,3823,0.33,0.7425,Tukey-Kramer,1.0000,0.05,-4.2093,5.9040,-9.5503,11.2450
set*media*pair_id,set1,2dd,1,set1,2dd,4,0.06678,3.3804,3823,0.02,0.9842,Tukey-Kramer,1.0000,0.05,-6.5607,6.6943,-13.5610,13.6945
set*media*pair_id,set1,2dd,1,set1,2dd,5,1.2011,0.9731,3823,1.23,0.2172,Tukey-Kramer,1.0000,0.05,-0.7068,3.1089,-2.7219,5.1241
set*media*pair_id,set1,2dd,1,set1,2dd,6,1.2830,2.4100,3823,0.53,0.5945,Tukey-Kramer,1.0000,0.05,-3.4419,6.0080,-8.4326,10.9986
set*media*pair_id,set1,2dd,1,set1,2dd,7,0.6682,8.0643,3823,0.08,0.9340,Tukey-Kramer,1.0000,0.05,-15.1425,16.4789,-31.8424,33.1788
set*media*pair_id,set1,2dd,1,set1,2dd,8,-0.3469,5.4583,3823,-0.06,0.9493,Tukey-Kramer,1.0000,0.05,-11.0483,10.3546,-22.3516,21.6579
set*media*pair_id,set1,2dd,1,set1,2dd,9,-0.6660,5.4583,3823,-0.12,0.9029,Tukey-Kramer,1.0000,0.05,-11.3675,10.0354,-22.6708,21.3387
set*media*pair_id,set1,2dd,1,set1,3dd,1,-1.2803,1.0610,3823,-1.21,0.2276,Tukey-Kramer,1.0000,0.05,-3.3605,0.7998,-5.5577,2.9970
set*media*pair_id,set1,2dd,1,set1,3dd,2,-1.6351,16.2035,3823,-0.10,0.9196,Tukey-Kramer,1.0000,0.05,-33.4035,30.1333,-66.9585,63.6884
set*media*pair_id,set1,2dd,1,set1,3dd,3,-1.1168,0.9113,3823,-1.23,0.2205,Tukey-Kramer,1.0000,0.05,-2.9035,0.6699,-4.7907,2.5571
set*media*pair_id,set1,2dd,1,set1,3dd,4,-0.8515,4.4190,3823,-0.19,0.8472,Tukey-Kramer,1.0000,0.05,-9.5153,7.8124,-18.6665,16.9636
set*media*pair_id,set1,2dd,1,set1,3dd,5,1.1330,2.0605,3823,0.55,0.5824,Tukey-Kramer,1.0000,0.05,-2.9067,5.1728,-7.1736,9.4397
set*media*pair_id,set1,2dd,1,set1,3dd,6,-0.4787,3.8686,3823,-0.12,0.9015,Tukey-Kramer,1.0000,0.05,-8.0635,7.1060,-16.0748,15.1173
set*media*pair_id,set1,2dd,1,set1,3dd,7,-0.6264,9.1068,3823,-0.07,0.9452,Tukey-Kramer,1.0000,0.05,-18.4811,17.2283,-37.3399,36.0872
set*media*pair_id,set1,2dd,1,set1,3dd,8,-1.0912,6.5026,3823,-0.17,0.8667,Tukey-Kramer,1.0000,0.05,-13.8401,11.6578,-27.3061,25.1238
set*media*pair_id,set1,2dd,1,set1,3dd,9,-2.8049,6.5026,3823,-0.43,0.6662,Tukey-Kramer,1.0000,0.05,-15.5539,9.9441,-29.0198,23.4100
set*media*pair_id,set1,2dd,1,set1,3dp,1,-0.1842,3.6905,3823,-0.05,0.9602,Tukey-Kramer,1.0000,0.05,-7.4197,7.0512,-15.0621,14.6936
set*media*pair_id,set1,2dd,1,set1,3dp,2,-0.4610,13.5617,3823,-0.03,0.9729,Tukey-Kramer,1.0000,0.05,-27.0499,26.1279,-55.1341,54.2121
set*media*pair_id,set1,2dd,1,set1,3dp,3,-0.8599,6.2554,3823,-0.14,0.8907,Tukey-Kramer,1.0000,0.05,-13.1241,11.4044,-26.0781,24.3584
set*media*pair_id,set1,2dd,1,set1,3dp,4,0.1498,7.0586,3823,0.02,0.9831,Tukey-Kramer,1.0000,0.05,-13.6891,13.9887,-28.3063,28.6059
set*media*pair_id,set1,2dd,1,set1,3dp,5,1.0221,2.8219,3823,0.36,0.7172,Tukey-Kramer,1.0000,0.05,-4.5105,6.5547,-10.3543,12.3984
set*media*pair_id,set1,2dd,1,set1,3dp,6,0.06173,6.0879,3823,0.01,0.9919,Tukey-Kramer,1.0000,0.05,-11.8741,11.9976,-24.4812,24.6047
set*media*pair_id,set1,2dd,1,set1,3dp,7,-0.2409,11.7487,3823,-0.02,0.9836,Tukey-Kramer,1.0000,0.05,-23.2753,22.7935,-47.6051,47.1233
set*media*pair_id,set1,2dd,1,set1,3dp,8,-0.03371,9.1418,3823,-0.00,0.9971,Tukey-Kramer,1.0000,0.05,-17.9569,17.8895,-36.8881,36.8207
set*media*pair_id,set1,2dd,1,set1,3dp,9,-0.1971,9.1418,3823,-0.02,0.9828,Tukey-Kramer,1.0000,0.05,-18.1203,17.7261,-37.0515,36.6573
set*media*pair_id,set1,2dd,1,set2,2dd,1,0.1851,2.4482,3823,0.08,0.9397,Tukey-Kramer,1.0000,0.05,-4.6148,4.9849,-9.6845,10.0547
set*media*pair_id,set1,2dd,1,set2,2dd,2,0.5442,16.8864,3823,0.03,0.9743,Tukey-Kramer,1.0000,0.05,-32.5630,33.6513,-67.5320,68.6203
set*media*pair_id,set1,2dd,1,set2,2dd,3,-0.9710,12.6162,3823,-0.08,0.9387,Tukey-Kramer,1.0000,0.05,-25.7061,23.7641,-51.8323,49.8902
set*media*pair_id,set1,2dd,1,set2,2dd,4,0.06446,3.4145,3823,0.02,0.9849,Tukey-Kramer,1.0000,0.05,-6.6300,6.7589,-13.7010,13.8299
set*media*pair_id,set1,2dd,1,set2,2dd,5,2.3736,4.7141,3823,0.50,0.6146,Tukey-Kramer,1.0000,0.05,-6.8688,11.6160,-16.6310,21.3782
set*media*pair_id,set1,2dd,1,set2,2dd,6,3.1358,1.6882,3823,1.86,0.0633,Tukey-Kramer,0.9999,0.05,-0.1740,6.4457,-3.6699,9.9416
set*media*pair_id,set1,2dd,1,set2,2dd,7,-0.1968,4.2765,3823,-0.05,0.9633,Tukey-Kramer,1.0000,0.05,-8.5813,8.1877,-17.4374,17.0438
set*media*pair_id,set1,2dd,1,set2,2dd,8,-0.6976,1.6882,3823,-0.41,0.6795,Tukey-Kramer,1.0000,0.05,-4.0074,2.6123,-7.5033,6.1082
set*media*pair_id,set1,2dd,1,set2,2dd,9,-0.6378,1.6882,3823,-0.38,0.7056,Tukey-Kramer,1.0000,0.05,-3.9477,2.6720,-7.4436,6.1679
set*media*pair_id,set1,2dd,1,set2,3dd,1,-0.4985,3.1204,3823,-0.16,0.8731,Tukey-Kramer,1.0000,0.05,-6.6162,5.6193,-13.0781,12.0811
set*media*pair_id,set1,2dd,1,set2,3dd,2,-0.2261,13.9701,3823,-0.02,0.9871,Tukey-Kramer,1.0000,0.05,-27.6157,27.1635,-56.5457,56.0935
set*media*pair_id,set1,2dd,1,set2,3dd,3,-0.8224,10.4937,3823,-0.08,0.9375,Tukey-Kramer,1.0000,0.05,-21.3963,19.7514,-43.1271,41.4823
set*media*pair_id,set1,2dd,1,set2,3dd,4,-1.3131,4.0864,3823,-0.32,0.7480,Tukey-Kramer,1.0000,0.05,-9.3248,6.6986,-17.7871,15.1609
set*media*pair_id,set1,2dd,1,set2,3dd,5,1.2674,2.1533,3823,0.59,0.5562,Tukey-Kramer,1.0000,0.05,-2.9544,5.4892,-7.4135,9.9483
set*media*pair_id,set1,2dd,1,set2,3dd,6,0.4266,2.7742,3823,0.15,0.8778,Tukey-Kramer,1.0000,0.05,-5.0124,5.8656,-10.7573,11.6105
set*media*pair_id,set1,2dd,1,set2,3dd,7,-1.3401,4.9525,3823,-0.27,0.7867,Tukey-Kramer,1.0000,0.05,-11.0498,8.3697,-21.3057,18.6255
set*media*pair_id,set1,2dd,1,set2,3dd,8,-0.3457,2.3655,3823,-0.15,0.8838,Tukey-Kramer,1.0000,0.05,-4.9836,4.2921,-9.8823,9.1908
set*media*pair_id,set1,2dd,1,set2,3dd,9,-0.6931,2.3655,3823,-0.29,0.7695,Tukey-Kramer,1.0000,0.05,-5.3310,3.9447,-10.2297,8.8434
set*media*pair_id,set1,2dd,1,set2,3dp,1,0.4724,1.8360,3823,0.26,0.7970,Tukey-Kramer,1.0000,0.05,-3.1273,4.0721,-6.9294,7.8742
set*media*pair_id,set1,2dd,1,set2,3dp,2,-0.2936,9.0789,3823,-0.03,0.9742,Tukey-Kramer,1.0000,0.05,-18.0935,17.5063,-36.8945,36.3072
set*media*pair_id,set1,2dd,1,set2,3dp,3,-1.2267,8.3912,3823,-0.15,0.8838,Tukey-Kramer,1.0000,0.05,-17.6784,15.2250,-35.0554,32.6020
set*media*pair_id,set1,2dd,1,set2,3dp,4,-0.03724,0.8975,3823,-0.04,0.9669,Tukey-Kramer,1.0000,0.05,-1.7969,1.7225,-3.6556,3.5811
set*media*pair_id,set1,2dd,1,set2,3dp,5,0.5553,8.9313,3823,0.06,0.9504,Tukey-Kramer,1.0000,0.05,-16.9553,18.0660,-35.4507,36.5614
set*media*pair_id,set1,2dd,1,set2,3dp,6,-0.7270,2.5908,3823,-0.28,0.7790,Tukey-Kramer,1.0000,0.05,-5.8065,4.3524,-11.1717,9.7176
set*media*pair_id,set1,2dd,1,set2,3dp,7,-0.4301,0.3445,3823,-1.25,0.2119,Tukey-Kramer,1.0000,0.05,-1.1055,0.2453,-1.8189,0.9587
set*media*pair_id,set1,2dd,1,set2,3dp,8,0.3000,2.5908,3823,0.12,0.9078,Tukey-Kramer,1.0000,0.05,-4.7795,5.3795,-10.1446,10.7446
set*media*pair_id,set1,2dd,1,set2,3dp,9,-0.2535,2.5908,3823,-0.10,0.9221,Tukey-Kramer,1.0000,0.05,-5.3330,4.8260,-10.6981,10.1911
set*media*pair_id,set1,2dd,2,set1,2dd,3,1.1936,16.2086,3823,0.07,0.9413,Tukey-Kramer,1.0000,0.05,-30.5847,32.9719,-64.1502,66.5374
set*media*pair_id,set1,2dd,2,set1,2dd,4,0.4130,17.0145,3823,0.02,0.9806,Tukey-Kramer,1.0000,0.05,-32.9454,33.7714,-68.1799,69.0058
set*media*pair_id,set1,2dd,2,set1,2dd,5,1.5472,12.7481,3823,0.12,0.9034,Tukey-Kramer,1.0000,0.05,-23.4465,26.5410,-49.8459,52.9404
set*media*pair_id,set1,2dd,2,set1,2dd,6,1.6292,16.0400,3823,0.10,0.9191,Tukey-Kramer,1.0000,0.05,-29.8185,33.0770,-63.0349,66.2933
set*media*pair_id,set1,2dd,2,set1,2dd,7,1.0144,21.7079,3823,0.05,0.9627,Tukey-Kramer,1.0000,0.05,-41.5457,43.5745,-86.4994,88.5282
set*media*pair_id,set1,2dd,2,set1,2dd,8,-0.00068,19.0987,3823,-0.00,1.0000,Tukey-Kramer,1.0000,0.05,-37.4454,37.4440,-76.9960,76.9946
set*media*pair_id,set1,2dd,2,set1,2dd,9,-0.3199,19.0987,3823,-0.02,0.9866,Tukey-Kramer,1.0000,0.05,-37.7646,37.1248,-77.3151,76.6754
set*media*pair_id,set1,2dd,2,set1,3dd,1,-0.9341,14.6913,3823,-0.06,0.9493,Tukey-Kramer,1.0000,0.05,-29.7377,27.8695,-60.1613,58.2930
set*media*pair_id,set1,2dd,2,set1,3dd,2,-1.2889,2.5763,3823,-0.50,0.6169,Tukey-Kramer,1.0000,0.05,-6.3400,3.7622,-11.6753,9.0975
