Effect,set,media,pair_id,Estimate,StdErr,DF,tValue,Probt,Alpha,Lower,Upper
set*media*pair_id,set1,2dd,1,2.0744,2.9183,3006,0.71,0.4773,0.05,-3.6476,7.7964
set*media*pair_id,set1,2dd,2,2.6193,0.9269,3006,2.83,0.0047,0.05,0.8018,4.4368
set*media*pair_id,set1,2dd,3,1.1808,2.4563,3006,0.48,0.6308,0.05,-3.6354,5.9970
set*media*pair_id,set1,2dd,4,2.0410,2.0849,3006,0.98,0.3277,0.05,-2.0470,6.1290
set*media*pair_id,set1,2dd,5,0.7843,0.6121,3006,1.28,0.2001,0.05,-0.4158,1.9845
set*media*pair_id,set1,2dd,6,0.7919,0.5132,3006,1.54,0.1229,0.05,-0.2143,1.7982
set*media*pair_id,set1,2dd,7,1.5098,0.6940,3006,2.18,0.0297,0.05,0.1491,2.8705
set*media*pair_id,set1,2dd,8,2.5097,0.5927,3006,4.23,<.0001,0.05,1.3475,3.6719
set*media*pair_id,set1,2dd,9,2.9463,0.5132,3006,5.74,<.0001,0.05,1.9400,3.9525
set*media*pair_id,set1,3dd,1,3.7093,1.2397,3006,2.99,0.0028,0.05,1.2785,6.1401
set*media*pair_id,set1,3dd,2,4.0329,0.5873,3006,6.87,<.0001,0.05,2.8814,5.1844
set*media*pair_id,set1,3dd,3,3.5145,2.0593,3006,1.71,0.0880,0.05,-0.5233,7.5524
set*media*pair_id,set1,3dd,4,3.1814,2.1045,3006,1.51,0.1307,0.05,-0.9449,7.3078
set*media*pair_id,set1,3dd,5,0.9298,0.3121,3006,2.98,0.0029,0.05,0.3179,1.5417
set*media*pair_id,set1,3dd,6,2.6860,0.3121,3006,8.61,<.0001,0.05,2.0741,3.2979
set*media*pair_id,set1,3dd,7,2.8341,1.1042,3006,2.57,0.0103,0.05,0.6691,4.9991
set*media*pair_id,set1,3dd,8,3.4255,0.4479,3006,7.65,<.0001,0.05,2.5473,4.3038
set*media*pair_id,set1,3dd,9,5.2652,0.3121,3006,16.87,<.0001,0.05,4.6533,5.8771
set*media*pair_id,set1,3dp,1,2.3987,1.3333,3006,1.80,0.0721,0.05,-0.2155,5.0130
set*media*pair_id,set1,3dp,2,2.7526,3.4313,3006,0.80,0.4225,0.05,-3.9753,9.4805
set*media*pair_id,set1,3dp,3,3.0925,1.7866,3006,1.73,0.0836,0.05,-0.4107,6.5956
set*media*pair_id,set1,3dp,4,2.0268,1.7606,3006,1.15,0.2497,0.05,-1.4253,5.4790
set*media*pair_id,set1,3dp,5,1.0618,3.7437,3006,0.28,0.7767,0.05,-6.2786,8.4022
set*media*pair_id,set1,3dp,6,2.1038,3.7437,3006,0.56,0.5742,0.05,-5.2366,9.4443
set*media*pair_id,set1,3dp,7,2.5079,4.8270,3006,0.52,0.6034,0.05,-6.9566,11.9724
