Effect,set,media,pair_id,Estimate,StdErr,DF,tValue,Probt,Mu,StdErrMu,Alpha,Lower,Upper,LowerMu,UpperMu
set*media*pair_id,set1,2dd,1,1.9083,1.5645,3823,1.22,0.2226,0.8708,0.1760,0.05,-1.1591,4.9757,0.2388,0.9931
set*media*pair_id,set1,2dd,2,2.2545,15.1824,3823,0.15,0.8820,0.9050,1.3049,0.05,-27.5119,32.0209,1.13E-12,1.0000
set*media*pair_id,set1,2dd,3,1.0609,1.0732,3823,0.99,0.3230,0.7429,0.2050,0.05,-1.0432,3.1651,0.2605,0.9595
set*media*pair_id,set1,2dd,4,1.8415,1.8671,3823,0.99,0.3241,0.8631,0.2206,0.05,-1.8191,5.5021,0.1395,0.9959
set*media*pair_id,set1,2dd,5,0.7072,2.4433,3823,0.29,0.7723,0.6698,0.5404,0.05,-4.0831,5.4976,0.01658,0.9959
set*media*pair_id,set1,2dd,6,0.6253,0.9090,3823,0.69,0.4916,0.6514,0.2064,0.05,-1.1569,2.4074,0.2392,0.9174
set*media*pair_id,set1,2dd,7,1.2401,6.5313,3823,0.19,0.8494,0.7756,1.1368,0.05,-11.5652,14.0453,9.491E-6,1.0000
set*media*pair_id,set1,2dd,8,2.2552,3.9218,3823,0.58,0.5653,0.9051,0.3369,0.05,-5.4338,9.9441,0.004347,1.0000
set*media*pair_id,set1,2dd,9,2.5743,3.9218,3823,0.66,0.5116,0.9292,0.2580,0.05,-5.1146,10.2633,0.005972,1.0000
set*media*pair_id,set1,3dd,1,3.1886,0.5824,3823,5.47,<.0001,0.9604,0.02215,0.05,2.0468,4.3305,0.8856,0.9870
set*media*pair_id,set1,3dd,2,3.5434,17.7339,3823,0.20,0.8416,0.9719,0.4844,0.05,-31.2254,38.3121,2.75E-14,1.0000
set*media*pair_id,set1,3dd,3,3.0251,0.8274,3823,3.66,0.0003,0.9537,0.03654,0.05,1.4029,4.6472,0.8026,0.9905
set*media*pair_id,set1,3dd,4,2.7597,2.8901,3823,0.95,0.3397,0.9405,0.1618,0.05,-2.9066,8.4260,0.05183,0.9998
set*media*pair_id,set1,3dd,5,0.7753,0.5674,3823,1.37,0.1719,0.6847,0.1225,0.05,-0.3371,1.8876,0.4165,0.8685
set*media*pair_id,set1,3dd,6,2.3870,2.3419,3823,1.02,0.3082,0.9158,0.1805,0.05,-2.2046,6.9786,0.09934,0.9991
set*media*pair_id,set1,3dd,7,2.5346,7.5714,3823,0.33,0.7378,0.9265,0.5154,0.05,-12.3097,17.3790,4.508E-6,1.0000
set*media*pair_id,set1,3dd,8,2.9994,4.9636,3823,0.60,0.5457,0.9525,0.2244,0.05,-6.7321,12.7310,0.001191,1.0000
set*media*pair_id,set1,3dd,9,4.7132,4.9636,3823,0.95,0.3424,0.9911,0.04376,0.05,-5.0184,14.4448,0.006572,1.0000
set*media*pair_id,set1,3dp,1,2.0925,2.1735,3823,0.96,0.3357,0.8902,0.2125,0.05,-2.1688,6.3538,0.1026,0.9983
set*media*pair_id,set1,3dp,2,2.3693,15.0913,3823,0.16,0.8753,0.9145,1.1806,0.05,-27.2185,31.9570,1.51E-12,1.0000
set*media*pair_id,set1,3dp,3,2.7682,4.7209,3823,0.59,0.5577,0.9409,0.2624,0.05,-6.4875,12.0238,0.001520,1.0000
set*media*pair_id,set1,3dp,4,1.7585,5.5262,3823,0.32,0.7503,0.8530,0.6928,0.05,-9.0761,12.5931,0.000114,1.0000
set*media*pair_id,set1,3dp,5,0.8862,1.2817,3823,0.69,0.4893,0.7081,0.2649,0.05,-1.6267,3.3991,0.1643,0.9677
set*media*pair_id,set1,3dp,6,1.8466,4.5539,3823,0.41,0.6851,0.8637,0.5360,0.05,-7.0817,10.7748,0.000840,1.0000
set*media*pair_id,set1,3dp,7,2.1492,10.2135,3823,0.21,0.8333,0.8956,0.9550,0.05,-17.8752,22.1736,1.725E-8,1.0000
set*media*pair_id,set1,3dp,8,1.9420,7.6037,3823,0.26,0.7984,0.8746,0.8341,0.05,-12.9657,16.8497,2.339E-6,1.0000
set*media*pair_id,set1,3dp,9,2.1054,7.6037,3823,0.28,0.7819,0.8914,0.7359,0.05,-12.8023,17.0130,2.754E-6,1.0000
set*media*pair_id,set2,2dd,1,1.7232,0.9238,3823,1.87,0.0622,0.8485,0.1187,0.05,-0.08801,3.5344,0.4780,0.9717
set*media*pair_id,set2,2dd,2,1.3641,15.3548,3823,0.09,0.9292,0.7964,2.4895,0.05,-28.7403,31.4685,3.3E-13,1.0000
set*media*pair_id,set2,2dd,3,2.8793,11.0815,3823,0.26,0.7950,0.9468,0.5580,0.05,-18.8470,24.6056,6.529E-9,1.0000
set*media*pair_id,set2,2dd,4,1.8438,1.8804,3823,0.98,0.3269,0.8634,0.2218,0.05,-1.8429,5.5306,0.1367,0.9961
set*media*pair_id,set2,2dd,5,-0.4653,6.2339,3823,-0.07,0.9405,0.3857,1.4771,0.05,-12.6874,11.7569,3.09E-6,1.0000
set*media*pair_id,set2,2dd,6,-1.2276,0.2315,3823,-5.30,<.0001,0.2266,0.04057,0.05,-1.6814,-0.7737,0.1569,0.3157
set*media*pair_id,set2,2dd,7,2.1051,2.7443,3823,0.77,0.4431,0.8914,0.2657,0.05,-3.2753,7.4854,0.03643,0.9994
set*media*pair_id,set2,2dd,8,2.6058,0.2315,3823,11.26,<.0001,0.9312,0.01482,0.05,2.1520,3.0597,0.8959,0.9552
set*media*pair_id,set2,2dd,9,2.5461,0.2315,3823,11.00,<.0001,0.9273,0.01560,0.05,2.0923,3.0000,0.8901,0.9526
set*media*pair_id,set2,3dd,1,2.4068,1.5853,3823,1.52,0.1291,0.9173,0.1202,0.05,-0.7014,5.5149,0.3315,0.9960
